"Post Title",Author,Bio,"Video URL","Video 2 URL","Video 3 URL","GIF Breakdown",Status,Type,Development,Emotions,"Fallen Affect","J Signal Mixing","P Signal Mixing",Alternative,Sex,"Age Range",Geography,Ethnicity,Checkbox,"Checkbox 1","R1 Rigid Posture Copy","R2 Face Centric","R3 Punctuated Motions","R4 Vertical Movements","R5 Subordinate Fluidity","F1 Fluid Posture","F2 Eye Centric","F3 Gliding Motions","F4 Horizontal Movements","F5 Subordinate Rigidity","PF1 Restless Momentum","PF2 Toggling Eyes","PF3 Body Swaying","PF4 Casual Hands","PF5 Alert Perk Ups","RF1 Viscous Inertia","RF2 Fixed Gaze","RF3 Diagonal Eye Drifts","RF4 Searching Scowling","RF5 Narrow Head Zoning","PR1 Head Pushes","PR2 Head Shakes","PR3 Shoulder Shrugs","PR4 Fluent Articulation","PR5 Projecting Hands","RR1 Poised Receding","RR2 Disengaging Eyes","RR3 Exerted Pushes","RR4 Momentum Halting","RR5 Meticulous Hands","CA1 Taut Nasolabial Area","CA2 Vertical Snarling Smiles","CA3 Four Point Pulling","CA4 Wobbling Lips","CA5 Asymmetrical Smirks","CA6 Sassy Movements","CA7 Plateau Velocity","CA8 Nasal Breathy Voice","CA9 Grasping Hands","MS1 Lax Nasolabial Area","MS2 Horizontal Curtain Smiles","MS3 Two Point Pulling","MS4 Symmetrical Lips","MS5 Emotional Neutralization","MS6 Coordinated Movements","MS7 Parabolic Velocity","MS8 Laryngeal Faint Voice","MS9 Puppeteer Hands","GR1 Taut Preseptal Area","GR2 Lax Pretarsal Area","GR3 Taut Outer Edges","GR4 Intense Scowling","GR5 Pointed Eye Toggles","GR6 Eye Head Parallel Motion","GR7 Grounding Effect","GR8 Bodily Awareness","SU1 Lax Preseptal Area","SU2 Taut Pretarsal Area","SU3 Lax Outer Edges","SU4 Concerned Scowling","SU5 Brushstrokes Eye Toggles","SU6 Eye Head Trailing Motions","SU7 Levity Effect","SU8 Quirky Skits","EU1 Responsive Nodding","EU2 Polite Smiling","EU3 Bashful Body Movements","EG1 Upset Mouth Tension","EG2 Assertive Pushing","EG3 Stern Expressions"
Manifestelle,"Robert Geary","Manifestelle (a.k.a. Elle Ray), through her YouTube channel by that name and through her ""Spoiled Girlie Support Group"" podcasts, advises young women on how to be discerning about men, how and where to find ""good men"", and how to best position themselves for long-term successful relationships with them, which begins with achieving their own financial independence so they are not hurt by a system of economics, courtship and gender relations that disadvantages them.  While her content stirs controversy, and often outrage, she advises the women who follow her, ""don't get mad, get paid"", and to practice ""malicious compliance"" with a system that is unlikely to change in their lifetimes.",https://www.youtube.com/watch?v=uDfx_dYEbtE,https://www.youtube.com/watch?v=RgxuDYOoPxM,https://www.youtube.com/watch?v=lUptXrGiclw,https://docs.google.com/document/d/1DJdAQGPYukM65DWr5JTheNVKeQhR1z6XBeajv687r2Q/edit?tab=t.0,,tise,ii-i,directive,0,medium,low,"TiSe II--",female,1990s,north_america,east_asian,,"calin_copil | robert_geary",4,7,4,4,4,4,,4,2,0,4,7,4,4,2,2,2,2,,2,4,2,2,4,4,2,7,4,2,7,,2,2,4,,4,2,4,,7,4,2,4,4,4,4,,7,7,7,7,,7,,4,4,,,,,2,,,,,2,,2,4,2
"Rebekah Teasdale","Calin Copil","Rebekah Teasdale, professionally known as DJ Rebekah, is a British DJ, producer, and former model, renowned for her contributions to the techno genre. Hailing from Birmingham, Rebekah draws inspiration from her city's industrial roots and the global techno scene. Her music is characterized by hard, dark, and minimalist elements, featuring heavy pounding beats and gradual, suspenseful development. She has worked with influential labels like CLR and Soma Records and launched her own platform, Elements, to support emerging talent. Beyond music, Rebekah is a vocal advocate for safer spaces within the electronic music industry, emphasizing inclusivity and accountability in nightlife culture.",https://www.youtube.com/watch?v=cY3C96n2Tko,https://www.youtube.com/watch?v=YftV9leZOqM,https://www.youtube.com/watch?v=KHZnDG9nxgk,,,tise,ii-i,neutral,1,low,medium,"Other developments",female,1980s,western_europe,white/european,,"juan_e._sandoval | calin_copil | peter_j._foy",7,7,4,4,4,,2,2,7,,2,4,2,7,2,,2,2,2,2,2,2,2,4,7,7,4,4,2,7,2,0,4,2,,0,2,,,,7,4,4,4,2,4,4,7,2,2,4,4,2,2,4,2,2,4,,,7,,,,2,2,,,2,2
Drake,"Calin Copil","Drake is a famous Canadian rapper, singer, and songwriter renowned for his emotive lyrics and genre-blending music. Born Aubrey Drake Graham, he rose to fame on ""Degrassi: The Next Generation."" Known for hits like ""Hotline Bling"" and ""God’s Plan,"" Drake has won multiple Grammys and broken chart records. His interests span fashion, sports, and entrepreneurship, including co-owning the Toronto Raptors. His work defines modern pop and hip-hop culture.
",https://www.youtube.com/watch?v=IcUVgyPAiB8,https://www.youtube.com/watch?v=8rY3eqPJjI8&,https://www.youtube.com/watch?v=-I0mCWDtFCw&pp=ygUPZHJha2UgaW50ZXJ2aWV3,https://docs.google.com/document/d/1PMwJrUbgwAmpzAXqzAVJKzMM31ysiq5CxIDS6TXapzM/edit?usp=sharing,,seti,i-i-,neutral,0,low,low,,male,1980s,north_america,black/african,,"calin_copil | robert_geary",,2,4,4,,7,7,7,7,4,4,7,7,7,2,2,2,4,4,2,4,4,7,7,4,,2,2,2,,,,,,2,,,,,2,7,7,7,7,4,4,7,2,2,7,2,7,4,7,7,4,4,2,4,,2,0,,2,2,4,2,2,4,4
"Jon Jones","Calin Copil","Jon Jones is widely regarded as one of the greatest MMA fighters of all time. He became the youngest UFC champion at 23, capturing the light heavyweight title in 2011. Known for his versatile skill set, including elite striking, wrestling, and a high fight IQ, Jones has maintained dominance over top-tier opponents. His ability to adapt and innovate has earned him ""GOAT"" status among fans and analysts, despite controversies and legal challenges he's faced inside and outside the octagon.",https://www.youtube.com/watch?v=DntBJLswG5M,https://www.youtube.com/watch?v=Iv81UfE1ms8,https://www.youtube.com/watch?v=D1LB-27eTeA,,,seti,i--i,neutral,1,low,low,,male,1980s,north_america,black/african,,calin_copil,,2,2,2,,7,7,4,7,2,2,4,7,7,2,4,4,2,4,4,2,2,2,4,4,2,2,2,2,2,,,,,,,,,,2,7,7,7,7,4,4,7,2,7,7,7,7,4,4,4,4,2,0,,,,,,,2,4,,2,2,4
"Jordan Peele","Calin Copil","Jordan Peele is a groundbreaking filmmaker, actor, and comedian, renowned for his work in horror and social commentary. Rising to fame with Key &amp; Peele, he later revolutionized modern cinema with films like Get Out and Us, blending horror with sharp social commentary and psychological depth. By addressing themes of race, identity, and societal fears, centering diverse narratives, and redefining the genre's boundaries, Peele’s storytelling has earned critical acclaim and reshaped the horror landscape.",https://www.youtube.com/watch?v=YnpDiuE8HJU,https://www.youtube.com/watch?v=I-KJ-BkuTJE,https://www.youtube.com/watch?v=tOy4B3H5e20,,,feni,iiii,neutral,1,low,high,FeSi,male,1970s,north_america,black/african,,"calin_copil | viktoriya_g. | robert_geary",4,4,4,7,7,2,2,2,7,,2,4,4,7,2,4,2,2,4,4,7,7,2,4,7,2,4,4,2,4,,,,,0,,,,,2,7,7,7,4,7,7,7,4,2,2,4,4,7,4,4,2,7,4,2,2,2,2,,4,2,4,2,,2,2
"Federico Faggin","Calin Copil","Federico Faggin is an Italian-American physicist, engineer, inventor, and author. He led the design of the first commercial microprocessor, the Intel 4004, in 1971. At Fairchild Semiconductor in 1968, he developed the self-aligned MOS silicon-gate technology. Faggin co-founded Zilog, introducing the influential Z80 microprocessor, and later founded Synaptics, contributing to touchpad and touchscreen technologies. His numerous accolades include the National Medal of Technology and Innovation. In recent years, Faggin has focused on the scientific study of consciousness, establishing the Federico and Elvia Faggin Foundation in 2011 to support research in this field.",https://www.youtube.com/watch?v=-Ol5NVuoAUA,https://www.youtube.com/watch?v=14Q_W6H_nZk,https://www.youtube.com/watch?v=YRIrf7XzEnA,,,site,ii-i,neutral,0,low,low,,male,1940s,western_europe,white/european,,"calin_copil | viktoriya_g. | robert_geary",2,2,4,4,,4,4,4,7,4,2,2,2,7,7,4,7,4,4,7,7,7,7,4,7,,2,,2,2,7,2,7,4,4,7,4,,4,,,,,,7,4,7,,2,2,2,2,2,,2,0,7,7,4,2,2,2,4,,2,2,4,,7,4
Woodkid,"Calin Copil","Woodkid, born Yoann Lemoine, is a French musician, director, and graphic designer renowned for his cinematic music and striking visuals. Blending orchestral arrangements with electronic beats, his debut album The Golden Age (2013) captivated audiences with its epic, emotive storytelling. Known for directing iconic music videos for artists like Lana Del Rey and Drake, Woodkid’s artistry seamlessly integrates music, film, and visual design with great sophistication.
",https://www.youtube.com/watch?v=yMY7zzYSfOE,https://www.youtube.com/watch?v=dQQ6rF_8Qwg,https://www.youtube.com/watch?v=zWDsy4aBgvw,,,tise,ii--,neutral,1,low,medium,,male,1980s,western_europe,white/european,,"calin_copil | viktoriya_g. | robert_geary",4,7,2,4,4,2,2,2,4,,2,7,4,4,2,2,,2,4,2,2,2,,4,4,4,4,4,4,7,,,,2,,2,2,,2,4,7,7,4,4,2,2,7,7,4,4,4,4,4,,4,2,2,4,,2,7,2,,,2,2,0,,2,4
"Michael Nyman","Robert Geary","Michael Nyman is a British composer, pianist, and musicologist, best known for his minimalist style. He gained international fame for his film scores, particularly for The Piano (1993), directed by Jane Campion. Nyman has also composed operas, chamber music, and orchestral works. His music often combines classical forms with contemporary and experimental elements, making him a pivotal figure in modern classical and film music.",https://www.youtube.com/watch?v=vDyuN37qfLw,https://www.youtube.com/watch?v=XEFi8f5QNU0,https://www.youtube.com/watch?v=VSOop7BKNNg,https://docs.google.com/document/d/1LwlxUiKiBSjO_3RUr1QS0kSh2GE6cDISV-hq_VK6vBI/edit?usp=sharing,,nite,ii-i,neutral,2,medium,low,"NiTe IIII",male,1940s,western_europe,jewish,,"calin_copil | robert_geary",,2,4,2,,4,7,4,4,2,2,7,4,4,4,7,4,7,4,4,4,7,2,0,7,,4,2,2,4,2,2,4,2,2,7,7,2,4,,2,,4,,2,4,4,2,2,4,4,,4,4,7,7,2,0,4,4,2,0,0,0,,,,2,2,2
"Ladan Hussein","Robert Geary","Singer/songwritere Ladan Hussein (stage names Cold Specks, Al Spx), born in Canada to Somali immigrants, left academia as a university student to focus on her music career in London, where she developed a style she has humorously described as ""doom soul"", a unique blend of soul, blues, and R&amp;B.  She has released three albums, with the last, released in 2017, featuring songs in the Somali language.  She has since retired her stage name after a struggle with mental health, but has begun publishing new music again under her own name this year.",https://www.youtube.com/watch?v=auRbY6bcizU,https://cdn.theguardian.tv/brightcove/2012/1/4/120103coldSpecks-16x9.mp4,https://www.youtube.com/watch?v=rpNjR1CTDAo,https://docs.google.com/document/d/1n_5tGXSRIaLM2s2nxMmDKzNUBWbsQeMtO-kN-8bUSpc/edit?usp=sharing,,fine,ii--,neutral,1,low,low,"FiNe I---",female,1980s,north_america,black/african,,"peter_j._foy | robert_geary",4,4,,2,,2,2,2,0,,4,4,4,2,2,,2,4,,,2,4,2,,,2,4,4,4,7,2,4,4,7,4,2,,4,,,,,,2,,,0,,2,2,,,2,,,2,2,2,4,2,4,2,2,,4,2,2,,,
"Richard Doyle","Calin Copil","Professor Richard Doyle is a scholar known for his work at Pennsylvania State University, focusing on the intersections of rhetoric, science, technology, and consciousness. His research delves into the transformative effects of language and media, especially regarding human perception and experience. Doyle’s notable works, like Darwin's Pharmacy, explore psychedelics, evolution, and culture, offering insights into ecological awareness, the nature of consciousness, and the role of altered states in human creativity.",https://www.youtube.com/watch?v=Wlf2t0012iY,https://www.youtube.com/watch?v=kYkf7L0oY84,https://www.youtube.com/watch?v=wR6ptAazBIA,,,feni,iii-,neutral,0,low,high,"I-I- in the 3rd vid. Alt type: FeSi",male,-1,north_america,white/european,,"calin_copil | robert_geary",2,4,7,7,7,4,4,7,7,,4,7,7,7,7,2,2,4,4,4,7,7,4,7,7,2,2,,2,2,2,,2,,2,4,,,,2,7,7,4,2,7,7,4,4,7,2,4,2,4,7,2,4,7,7,4,4,2,,4,2,4,4,4,,7,2
"Ólafur Arnalds","Peter Foy","Ólafur Arnalds is an Icelandic composer, multi-instrumentalist, and producer known for blending classical music with electronic elements. His work features delicate piano melodies, lush strings, and ambient soundscapes, creating emotionally evocative compositions. Arnalds has scored films and TV shows and collaborated with artists like Nils Frahm. He's also known for his minimalist techno side project called Kiasmos. His innovative use of software and technology, such as self-playing pianos, pushes the boundaries of modern classical music while maintaining an intimate, atmospheric style.",https://www.youtube.com/watch?v=q--jceARDSA&t=80s,https://www.youtube.com/watch?v=ivdacbOpB3I&t=40s,https://www.youtube.com/watch?v=dMW1WQBYm3g&t=7s,,,sefi,i-ii,seelie,2,low,medium,"I--I in younger years",male,1980s,western_europe,white/european,,peter_j._foy,,,4,4,,7,7,7,7,7,7,7,4,7,4,4,4,7,4,,7,4,2,2,4,2,2,2,2,4,7,2,4,2,4,7,4,,,,,,,,2,2,,,2,2,2,4,7,7,4,4,4,2,4,4,2,0,,0,4,4,2,2,,2
"Jessie Inchauspe","Calin Copil","Jessie Inchauspé, also known as the ""Glucose Goddess"" on social media, is a French biochemist and author who focuses on helping people balance their glucose levels to improve health and well-being. Through her social media presence and book ""Glucose Revolution,"" she educates people on managing blood sugar spikes to improve energy, mood, and prevent metabolic issues. Inchauspé offers practical tips based on scientific research for healthier eating habits.
",https://www.youtube.com/watch?v=FKrCe9fHsSc,https://www.youtube.com/watch?v=3esF-pNAM9c,https://www.youtube.com/watch?v=FRi7V6J6kuE,,,fesi,i-ii,neutral,0,low,low,,female,1990s,western_europe,white/european,,"calin_copil | ahmad_aldroubi",7,7,7,7,4,0,2,2,4,,2,4,2,7,7,,2,2,2,4,7,7,2,7,7,4,4,2,2,7,4,2,4,4,2,,2,,2,2,4,4,4,2,7,7,7,4,2,2,4,,2,2,,2,4,7,2,7,4,2,2,4,2,2,4,2,2,2
"Nicole Daedone","Calin Copil","Nicole Daedone is the founder and CEO of OneTaste, an organization that promotes the practice of Orgasmic Meditation, a form of mindfulness centered around female pleasure and intimate connection. Her work gained attention for its emphasis on the healing and transformative power of sexual energy. However, OneTaste has also faced controversy, with former members alleging manipulative practices, forced labor, and a cult-like environment.",https://www.youtube.com/watch?v=0Y1zT8-8cjA,https://www.youtube.com/watch?v=6DhOGH1EZ6c,https://www.youtube.com/watch?v=BZjRH1FmxfM,https://docs.google.com/document/d/1zQPAVM5g8HP8DGN1qeIog5y8wM6nBpVcIJf_O4fbLmM/edit?tab=t.0,,fesi,i-ii,neutral,1,medium,low,,female,1960s,north_america,white/european,,calin_copil,4,4,7,7,7,2,2,4,7,,2,4,4,7,7,2,,,2,,7,4,4,7,7,7,4,2,2,7,4,2,7,2,,2,2,,,2,4,4,2,2,4,7,4,7,2,,,,4,4,2,2,4,4,4,7,4,2,2,7,0,2,2,2,4,2
