,Sample Name,Vultologist,Type,Development,Emotions,Fallen Affect,J Signal Mixing,P Signal Mixing,Sex,Age Range,Geography,Ethnicity,R1 Rigid Posture,R2 Face Centric,R3 Punctuated Motions,R4 Vertical Movements,R5 Subordinate Fluidity,F1 Fluid Posture,F2 Eye Centric,F3 Gliding Motions,F4 Horizontal Movements,F5 Subordinate Rigidity,PF1 Restless Momentum,PF2 Toggling Eyes,PF3 Body Swaying,PF4 Casual Hands,PF5 Alert Perk Ups,RF1 Viscous Inertia,RF2 Fixed Gaze,RF3 Diagonal Eye Drifts,RF4 Searching Scowling,RF5 Narrow Head Zoning,PR1 Head Pushes,PR2 Head Shakes,PR3 Shoulder Shrugs,PR4 Fluent Articulation,PR5 Projecting Hands,RR1 Poised Receding,RR2 Disengaging Eyes,RR3 Exerted Pushes,RR4 Momentum Halting,RR5 Meticulous Hands,CA1 Taut Nasolabial Area,CA2 Vertical Snarling Smiles,CA3 Four Point Pulling,CA4 Wobbling Lips,CA5 Asymmetrical Smirks,CA6 Sassy Movements,CA7 Plateau Velocity,CA8 Nasal Breathy Voice,CA9 Grasping Hands,MS1 Lax Nasolabial Area,MS2 Horizontal Curtain Smiles,MS3 Two Point Pulling,MS4 Symmetrical Lips,MS5 Emotional Neutralization,MS6 Coordinated Movements,MS7 Parabolic Velocity,MS8 Laryngeal Faint Voice,MS9 Puppeteer Hands,GR1 Taut Preseptal Area,GR2 Lax Pretarsal Area,GR3 Taut Outer Edges,GR4 Intense Scowling,GR5 Pointed Eye Toggles,GR6 Eye Head Parallel Motion,GR7 Grounding Effect,GR8 Bodily Awareness,SU1 Lax Preseptal Area,SU2 Taut Pretarsal Area,SU3 Lax Outer Edges,SU4 Concerned Scowling,SU5 Brushstrokes Eye Toggles,SU6 Eye Head Trailing Motions,SU7 Levity Effect,SU8 Quirky Skits,EU1 Responsive Nodding,EU2 Polite Smiling,EU3 Bashful Body Movements,EG1 Upset Mouth Tension,EG2 Assertive Pushing,EG3 Stern Expressions,sum,Lead Energetic,Quadra,Candid Score,Measured Score,Grounded Score,Suspended Score,J-Axis Coordinate,P-Axis Coordinate
18,Sam Kerr,Calin Copil,sefi,i---,neutral,1.0,low,low,female,1990s,australia/new_zeland,other/unknown,2.0,2.0,0.0,2.0,0.0,7.0,4.0,4.0,4.0,2.0,4.0,7.0,7.0,7.0,4.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,2.0,4.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,7.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,2.0,4.0,2.0,2.0,0.0,2.0,174.0,Pe,Gamma,28.0,10.0,29.0,10.0,-0.47368421052631576,-0.48717948717948717
19,Barry Keoghan,Calin Copil,seti,i---,unguarded,0.0,medium,low,male,1990s,western_europe,-1,0.0,0.0,2.0,2.0,0.0,7.0,7.0,4.0,7.0,2.0,4.0,4.0,7.0,7.0,2.0,2.0,2.0,7.0,2.0,0.0,2.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,2.0,2.0,0.0,2.0,171.0,Pe,Beta,16.0,26.0,27.0,2.0,0.23809523809523808,-0.8620689655172413
20,Ashley Graham,Calin Copil,feni,i-i-,neutral,0.0,low,low,female,1980s,north_america,white/european,7.0,7.0,7.0,4.0,4.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,7.0,7.0,4.0,0.0,0.0,0.0,4.0,2.0,4.0,4.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,7.0,7.0,4.0,2.0,7.0,7.0,4.0,2.0,4.0,2.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0,4.0,0.0,2.0,4.0,195.0,Je,Beta,16.0,40.0,22.0,10.0,0.42857142857142855,-0.375
21,Russell Brand,Sierra Schwartz,feni,i-i-,guarded,0.0,low,low,male,1970s,western_europe,white/european,4.0,4.0,7.0,4.0,4.0,4.0,2.0,2.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,2.0,2.0,2.0,0.0,4.0,4.0,4.0,7.0,7.0,2.0,2.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,7.0,7.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,7.0,4.0,198.0,Je,Beta,12.0,38.0,24.0,10.0,0.52,-0.4117647058823529
22,Nick Vujicic,Sierra Schwartz,fesi,i---,unguarded,0.0,low,low,male,1980s,australia/new_zeland,white/european,2.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,4.0,7.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,7.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,0.0,0.0,2.0,0.0,136.0,Je,Alpha,8.0,24.0,6.0,29.0,0.5,0.6571428571428571
23,Miwa,Calin Copil,tine,ii--,unguarded,1.0,medium,low,female,1990s,southern_europe,white/european,4.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,7.0,0.0,4.0,4.0,4.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,7.0,7.0,4.0,2.0,7.0,4.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,0.0,2.0,7.0,7.0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,7.0,7.0,7.0,2.0,0.0,2.0,189.0,Ji,Alpha,16.0,30.0,6.0,22.0,0.30434782608695654,0.5714285714285714
24,Seeker,Juan E. Sandoval,seti,ii-i,guarded,2.0,low,low,male,1990s,middle_east/north_africa,arabic,0.0,2.0,2.0,0.0,0.0,4.0,2.0,4.0,2.0,2.0,4.0,7.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,2.0,4.0,0.0,4.0,0.0,4.0,7.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,4.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,7.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,182.0,Pe,Beta,6.0,40.0,33.0,8.0,0.7391304347826086,-0.6097560975609756
25,Emerald Fennell,Calin Copil,tesi,i--i,unguarded,0.0,low,low,female,1980s,western_europe,white/european,7.0,7.0,2.0,4.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,2.0,2.0,4.0,2.0,0.0,2.0,4.0,2.0,7.0,4.0,2.0,7.0,4.0,7.0,4.0,2.0,2.0,7.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,2.0,7.0,2.0,2.0,2.0,0.0,7.0,7.0,2.0,0.0,0.0,2.0,185.0,Je,Delta,30.0,14.0,6.0,21.0,-0.36363636363636365,0.5555555555555556
26,Apashe,Calin Copil,seti,i---,neutral,0.0,low,low,male,1980s,western_europe,white/european,0.0,2.0,2.0,2.0,0.0,7.0,7.0,7.0,7.0,2.0,4.0,7.0,7.0,7.0,4.0,0.0,0.0,2.0,7.0,0.0,2.0,0.0,2.0,4.0,2.0,0.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,7.0,7.0,7.0,7.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,2.0,191.0,Pe,Beta,8.0,30.0,42.0,6.0,0.5789473684210527,-0.75
28,Tilda Swinton,Peter Foy,fesi,i--i,guarded,2.0,low,high,female,1960s,western_europe,white/european,7.0,7.0,7.0,7.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,2.0,4.0,0.0,2.0,2.0,2.0,0.0,7.0,7.0,2.0,4.0,7.0,7.0,7.0,4.0,2.0,7.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,4.0,4.0,4.0,4.0,2.0,7.0,4.0,2.0,2.0,4.0,7.0,2.0,4.0,4.0,0.0,0.0,4.0,2.0,2.0,7.0,2.0,2.0,4.0,2.0,2.0,2.0,0.0,2.0,4.0,4.0,221.0,Je,Alpha,8.0,38.0,23.0,25.0,0.6521739130434783,0.041666666666666664
29,Jude Law,Calin Copil,teni,i-i-,neutral,0.0,medium,low,male,1960s,western_europe,white/european,4.0,4.0,7.0,7.0,7.0,4.0,4.0,2.0,7.0,0.0,2.0,7.0,4.0,7.0,7.0,0.0,2.0,4.0,2.0,0.0,7.0,4.0,2.0,7.0,7.0,2.0,4.0,0.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,7.0,2.0,2.0,0.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,4.0,7.0,7.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,4.0,2.0,2.0,2.0,226.0,Je,Gamma,29.0,18.0,32.0,6.0,-0.23404255319148937,-0.6842105263157895
30,Greta Gerwig,Calin Copil,fine,ii-i,neutral,0.0,low,low,female,1980s,north_america,white/european,7.0,7.0,4.0,4.0,7.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,2.0,7.0,4.0,0.0,4.0,0.0,4.0,2.0,4.0,4.0,2.0,2.0,7.0,7.0,4.0,7.0,2.0,7.0,4.0,4.0,7.0,4.0,2.0,2.0,7.0,4.0,7.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,4.0,7.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,0.0,2.0,2.0,208.0,Ji,Delta,41.0,12.0,4.0,29.0,-0.5471698113207547,0.7575757575757576
31,Sufjan Stevens,Peter Foy,neti,ii-i,neutral,3.0,low,medium,male,1970s,north_america,white/european,4.0,4.0,0.0,2.0,0.0,4.0,4.0,7.0,0.0,2.0,4.0,7.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,0.0,4.0,7.0,4.0,2.0,2.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,4.0,4.0,2.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,4.0,178.0,Pe,Alpha,4.0,37.0,10.0,16.0,0.8048780487804879,0.23076923076923078
33,Saoirse Ronan,Calin Copil,tesi,i-ii,neutral,1.0,low,low,female,1990s,western_europe,white/european,7.0,7.0,4.0,4.0,7.0,2.0,2.0,2.0,7.0,0.0,2.0,2.0,4.0,7.0,7.0,0.0,2.0,2.0,4.0,0.0,7.0,7.0,4.0,4.0,7.0,7.0,7.0,4.0,2.0,7.0,4.0,2.0,7.0,4.0,2.0,7.0,7.0,7.0,7.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,2.0,7.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,231.0,Je,Delta,47.0,6.0,8.0,25.0,-0.7735849056603774,0.5151515151515151
34,Anya Taylor-Joy,Calin Copil,tise,i--i,neutral,0.0,low,low,female,1990s,north_america,white/european,7.0,7.0,7.0,7.0,4.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,4.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,7.0,4.0,2.0,4.0,7.0,7.0,7.0,4.0,2.0,7.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,2.0,2.0,4.0,4.0,7.0,7.0,2.0,2.0,4.0,2.0,7.0,2.0,4.0,2.0,0.0,2.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,194.0,Ji,Beta,10.0,34.0,23.0,10.0,0.5454545454545454,-0.3939393939393939
35,Tara Swart,Calin Copil,teni,i--i,neutral,0.0,low,medium,female,1970s,western_europe,indian,7.0,7.0,4.0,7.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,2.0,7.0,0.0,0.0,4.0,2.0,0.0,7.0,7.0,2.0,7.0,7.0,7.0,7.0,2.0,2.0,7.0,4.0,7.0,7.0,4.0,2.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,2.0,4.0,2.0,7.0,4.0,4.0,2.0,0.0,0.0,4.0,7.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,4.0,4.0,2.0,2.0,2.0,209.0,Je,Gamma,34.0,14.0,23.0,17.0,-0.4166666666666667,-0.15
36,Ben Francis,Peter Foy,tise,i--i,guarded,0.0,low,,male,1990s,western_europe,white/european,7.0,7.0,7.0,2.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,2.0,4.0,2.0,0.0,4.0,7.0,0.0,4.0,7.0,7.0,2.0,7.0,2.0,7.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,2.0,7.0,7.0,7.0,2.0,2.0,4.0,0.0,4.0,2.0,7.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,166.0,Ji,Beta,6.0,36.0,21.0,2.0,0.7142857142857143,-0.8260869565217391
37,Stephen Wiltshire,Juan E. Sandoval,site,i---,unguarded,1.0,medium,low,male,1970s,western_europe,black/african,4.0,2.0,0.0,0.0,0.0,2.0,7.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,7.0,2.0,2.0,7.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,4.0,2.0,4.0,2.0,7.0,4.0,0.0,0.0,2.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,116.0,Pi,Delta,21.0,10.0,4.0,21.0,-0.3548387096774194,0.68
38,Emily Blunt,Calin Copil,fesi,i--i,unguarded,0.0,low,low,female,1980s,western_europe,white/european,7.0,7.0,7.0,7.0,4.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,0.0,7.0,4.0,2.0,7.0,7.0,7.0,2.0,4.0,2.0,7.0,2.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0,2.0,7.0,7.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,7.0,4.0,7.0,7.0,0.0,0.0,2.0,220.0,Je,Alpha,10.0,36.0,12.0,33.0,0.5652173913043478,0.4666666666666667
39,Dave Asprey,Calin Copil,fesi,iii-,unguarded,0.0,low,low,male,1970s,north_america,white/european,2.0,4.0,4.0,7.0,4.0,4.0,2.0,2.0,7.0,0.0,4.0,4.0,7.0,4.0,7.0,4.0,2.0,4.0,4.0,4.0,7.0,7.0,2.0,7.0,7.0,2.0,4.0,0.0,2.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,7.0,7.0,4.0,4.0,7.0,7.0,7.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0,0.0,7.0,4.0,7.0,7.0,4.0,2.0,4.0,0.0,4.0,4.0,2.0,2.0,2.0,0.0,234.0,Je,Alpha,6.0,45.0,12.0,35.0,0.7647058823529411,0.48936170212765956
40,Eartha Kitt,Calin Copil,teni,i-i-,guarded,0.0,low,low,female,1920s,north_america,black/african,4.0,7.0,4.0,4.0,7.0,4.0,2.0,4.0,4.0,0.0,2.0,7.0,7.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,7.0,4.0,2.0,7.0,7.0,2.0,2.0,0.0,2.0,4.0,2.0,4.0,4.0,4.0,0.0,4.0,2.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0,2.0,2.0,4.0,4.0,2.0,4.0,204.0,Je,Gamma,26.0,12.0,26.0,11.0,-0.3684210526315789,-0.40540540540540543
