Post Title,,Bio,Video URL,Video 2 URL,Video 3 URL,GIF Breakdown,Status,Type,Development,Emotions,Fallen Affect,J Signal Mixing,P Signal Mixing,Alternative,Sex,Age Range,Geography,Ethnicity,Checkbox,Checkbox 1,R1 Rigid Posture Copy,R2 Face Centric,R3 Punctuated Motions,R4 Vertical Movements,R5 Subordinate Fluidity,F1 Fluid Posture,F2 Eye Centric,F3 Gliding Motions,F4 Horizontal Movements,F5 Subordinate Rigidity,PF1 Restless Momentum,PF2 Toggling Eyes,PF3 Body Swaying,PF4 Casual Hands,PF5 Alert Perk Ups,RF1 Viscous Inertia,RF2 Fixed Gaze,RF3 Diagonal Eye Drifts,RF4 Searching Scowling,RF5 Narrow Head Zoning,PR1 Head Pushes,PR2 Head Shakes,PR3 Shoulder Shrugs,PR4 Fluent Articulation,PR5 Projecting Hands,RR1 Poised Receding,RR2 Disengaging Eyes,RR3 Exerted Pushes,RR4 Momentum Halting,RR5 Meticulous Hands,CA1 Taut Nasolabial Area,CA2 Vertical Snarling Smiles,CA3 Four Point Pulling,CA4 Wobbling Lips,CA5 Asymmetrical Smirks,CA6 Sassy Movements,CA7 Plateau Velocity,CA8 Nasal Breathy Voice,CA9 Grasping Hands,MS1 Lax Nasolabial Area,MS2 Horizontal Curtain Smiles,MS3 Two Point Pulling,MS4 Symmetrical Lips,MS5 Emotional Neutralization,MS6 Coordinated Movements,MS7 Parabolic Velocity,MS8 Laryngeal Faint Voice,MS9 Puppeteer Hands,GR1 Taut Preseptal Area,GR2 Lax Pretarsal Area,GR3 Taut Outer Edges,GR4 Intense Scowling,GR5 Pointed Eye Toggles,GR6 Eye Head Parallel Motion,GR7 Grounding Effect,GR8 Bodily Awareness,SU1 Lax Preseptal Area,SU2 Taut Pretarsal Area,SU3 Lax Outer Edges,SU4 Concerned Scowling,SU5 Brushstrokes Eye Toggles,SU6 Eye Head Trailing Motions,SU7 Levity Effect,SU8 Quirky Skits,EU1 Responsive Nodding,EU2 Polite Smiling,EU3 Bashful Body Movements,EG1 Upset Mouth Tension,EG2 Assertive Pushing,EG3 Stern Expressions
Eberechi Eze,Calin Copil,"Eberechi Eze, a talented English footballer, showcases a playstyle that combines technical prowess with creative vision. His skillful dribbling allows him to navigate through tight defenses effortlessly, while his acute sense of positioning and spatial awareness make him an outstanding playmaker. Eze's ability to execute precise passes and score from long distances highlights his versatility and offensive threat. His flair and agility on the pitch captivate audiences, making him a pivotal figure in the Premier League.",https://www.youtube.com/watch?v=-bJcZ_eYT0I,https://www.youtube.com/watch?v=Q-2nAA_eams,https://www.youtube.com/watch?v=UWrSCiAFg1s,https://docs.google.com/document/d/1GyV7KCUCLvBzbLd7-CSXETuWC80i9HhUgoQWIkWnirE/edit,,seti,i--i,neutral,0,low,low,I---,male,1990s,western_europe,black/african,,juan_e._sandoval | calin_copil | ash_rose | peter_j._foy | sierra_rose,2,2,,2,,7,7,4,7,2,2,7,4,7,4,7,4,2,,4,2,2,2,4,0,2,2,2,2,2,4,,2,4,2,,,,,2,7,7,4,4,4,4,4,2,7,7,7,,7,7,7,7,,,,,,,,,2,7,2,2,,2
Tamino,Ahmad Aldroubi,"Tamino Amir, a Belgian-Egyptian indie rock artist. Born in 1996, Tamino gained recognition for his hauntingly soulful voice and captivating stage presence. His music often explores deep emotions and existential themes, creating a unique blend of indie, rock, and Middle Eastern influences. Tamino's debut album ""Amir"" was released in 2018, showcasing his remarkable talent and earning critical acclaim. With his evocative sound and introspective lyrics, Tamino has carved a distinct niche in the contemporary indie music scene.",https://www.youtube.com/watch?v=5VMcx7GejfI,https://www.youtube.com/watch?v=s5BXwsN1RnQ,https://www.youtube.com/watch?v=EMlBfrBJDPo&pp=ygUQdGFtaW5vIGludGVydmlldw,https://docs.google.com/document/d/1yWEdauEa6hKF1V9K8cROXSBNiL80hr-rRO5YL4bIdZs/edit?usp=sharing,,seti,i--i,adaptive,3,low,high,NeTi,male,1990s,western_europe,arabic,,juan_e._sandoval | calin_copil | ahmad_aldroubi,2,4,2,2,0,7,7,7,7,2,7,7,7,7,4,4,4,2,2,4,2,2,2,0,2,0,4,4,2,4,2,0,0,2,2,0,2,0,0,7,7,7,7,7,4,2,4,7,2,4,2,4,4,7,4,4,4,2,4,2,4,0,4,0,7,7,7,0,0,0
Colin Robertson,Peter Foy,"Colin Robertson, better known as Millennial Woes, is a Scottish reactionary social and political commentator known for his controversial views on multiculturalism, race, and nationalism. Engaging through video and blogging, he facilitates discussion with the dissident right with topics such as society and culture, national identity, philosophy, religion, politics, art, and more. His content fosters a sense of community among those who share his views, however critics argue that his views are divisive and promote extremist ideologies.",https://odysee.com/@millennialwoes:4/vama2021xm:1,https://odysee.com/@millennialwoes:4/JonHolmes:9,https://www.youtube.com/watch?v=7twQ4vFZl5c,https://docs.google.com/document/d/1SLZzkLhpf2Ugu81RwT9I9_Eb1tXp4aByW1flDBPzxpA/edit,,sefi,i-ii,unseelie,3,low,,Appears as I--I in 3rd video,male,1980s,western_europe,white/european,,juan_e._sandoval | calin_copil | peter_j._foy | sierra_rose,,2,2,2,,7,7,7,4,4,7,2,7,4,4,2,2,7,7,2,4,4,4,2,4,2,4,,4,2,4,7,2,2,7,7,4,2,,2,2,2,4,2,,,4,,4,2,7,7,7,7,4,4,,2,,,,,,,2,2,2,4,4,7
Ensar Oud,Calin Copil,"Ensar Oud (real name: Ensar Gül) is a niche perfume house owner, renowned for its dedication to the ancient craft of oud distillation. The brand has gained a cult following for its artisanal approach, creating pure oud oils and oud-infused fragrances. Ensar Oud sources rare agarwood from around the world, ensuring ethical practices and the highest quality. Each scent is a journey, reflecting the rich, complex nature of oud and its cultural heritage.
",https://www.youtube.com/watch?v=rG05vRXtf3w,https://www.youtube.com/watch?v=Rt08eyeEl-U,https://www.youtube.com/watch?v=jY0kQ7WJJx4,https://docs.google.com/document/d/1iZhVNZ1FW-hFPwzSAX7V2Qjx1egrOngHky3pMNPCEVQ/edit,,nife,ii--,neutral,2,low,low,,male,-1,-1,turkic,,juan_e._sandoval | calin_copil | ash_rose | sierra_rose,4,2,4,2,,4,2,2,7,2,2,4,2,2,4,4,7,7,,4,2,4,,4,7,2,2,,2,2,0,,,,,,,,,4,7,7,7,7,4,7,4,,7,7,7,,7,4,2,,,,,,,,,,,4,,2,,4
Maggie Lindemann,Calin Copil,"Maggie Lindemann is an American singer-songwriter and model from Dallas, Texas. Gaining initial fame on social media, her music blends pop with darker, introspective themes. Her breakout single, ""Pretty Girl,"" achieved global recognition, showcasing her vocal range and lyrical depth. Maggie's style evolves continually, reflecting her personal growth and diverse musical influences, making her a prominent figure in the contemporary pop music scene.",https://www.youtube.com/watch?v=g6iTmnFb5DQ,https://www.youtube.com/watch?v=v3kEV-ik7hE,https://www.youtube.com/watch?v=n-fGr6lcucY,https://docs.google.com/document/d/1fopjOMUE_hMo9bWzgor6G14_HWGyf1ZhJdx4N0soL1o/edit,,sefi,ii--,neutral,0,low,low,III- in other vids.,female,1990s,north_america,white/european,,juan_e._sandoval | calin_copil | sierra_rose,4,4,2,2,,4,2,4,7,4,4,7,4,4,4,,,4,,,2,2,,4,4,7,4,2,2,7,7,7,7,4,2,7,4,7,2,2,,,2,2,0,,,2,4,4,7,,4,2,4,4,,2,,,2,,,,2,4,4,2,2,2
Klee Irwin,Juan E. Sandoval,"Klee Irwin is an American entrepreneur and researcher. He is the founder of Irwin Naturals, an natural supplement company, and the founder of Quantum Gravity Research (QGR), a non-profit research institute. Irwin is focused on developing a theory of everything that bridges quantum mechanics and general relativity. His work often explores the fringes of theoretical physics, emphasizing geometric first principles. Additionally, Irwin has a background in business, having established successful ventures in various sectors. He is also known for his involvement in educational initiatives and public speaking, where he disseminates complex scientific concepts to broader audiences. Irwin's approach combines entrepreneurial acumen with a quest for deeper understanding of the natural world.",https://www.youtube.com/watch?v=Z9SfV4BDdHg,https://www.youtube.com/watch?v=Exo8WAcPi9Y,https://www.youtube.com/watch?v=h_6pYpM0Jg8,https://docs.google.com/document/d/1pyy-DaqDHl4JqFkKuwJtW33ev7ciJ3QTF3UNiZZJy2g/edit?usp=sharing,,feni,i-ii,adaptive,1,low,high,,male,1960s,north_america,white/european,,juan_e._sandoval | peter_j._foy | sierra_rose,4,4,4,4,4,,,2,4,,2,7,4,2,,2,,4,2,2,4,4,,4,7,2,4,2,4,4,2,,2,2,2,,,,,4,7,4,4,2,4,7,7,7,2,4,7,4,4,4,2,,4,4,,2,7,,2,2,4,2,,,,2
Mario Sznajder,Calin Copil,"Mario Sznajder is a distinguished academic known for his extensive work in political science. Born in Chile, he has made significant contributions to the study of authoritarian regimes, democratic transitions, and human rights in Latin America. Sznajder's research often focuses on the complexities of political ideologies and their impact on societies. He has held various academic positions and is widely respected for his insightful analysis and scholarly publications in the field.
",https://www.youtube.com/watch?v=u2OJNzP8Bmk,https://www.youtube.com/watch?v=4GXYNcpkDio,https://www.youtube.com/watch?v=AbLW0lXv3zA,https://docs.google.com/document/d/12V_tBstVyiZSk5bHaPOA2p5Yb11Li5SmxIw0i7NzWS4/edit?usp=sharing,,sife,ii--,neutral,1,low,low,,male,1940s,latin_america,jewish,,juan_e._sandoval | calin_copil,,2,2,2,,4,2,7,7,2,2,2,2,2,2,7,7,2,2,7,4,2,2,7,2,,,2,2,2,2,,,2,,,,,,2,2,4,4,2,4,4,7,,,,2,,2,,,,4,4,4,4,2,2,2,,2,,2,,2,2
Amalie Bruun,Calin Copil,"Amalie Bruun, better known by her stage name Myrkur, is a Danish musician and model. Emerging in the black metal scene, she has gained acclaim for her unique blend of raw, atmospheric black metal with ethereal, folk-inspired melodies. Her music often features hauntingly beautiful vocals, contrasting with the genre's typically harsh sound. Bruun's work under Myrkur has been both praised and controversial, showcasing her versatility as an artist.",https://www.youtube.com/watch?v=z2gKbCDJ6vQ,https://www.youtube.com/watch?v=WZp2UeJKSoM,https://www.youtube.com/watch?v=VgHtwV8RtkY,https://docs.google.com/document/d/11vU4t9iy2ZZDnNDXz5R1uiNHljQagUoEkN8ayAVVTD4/edit?usp=sharing,,fine,ii-i,neutral,2,high,low,TiNe,female,1980s,western_europe,white/european,,calin_copil | ash_rose,7,4,4,4,2,2,2,2,2,,2,4,4,2,7,,2,2,4,,4,2,4,2,4,7,4,4,2,7,7,4,4,4,4,4,7,,2,0,4,2,4,2,2,2,4,7,,,,,2,4,,2,7,7,2,7,2,2,4,,2,4,2,2,2,4
Sam Kerr,Calin Copil,"Sam Kerr is an Australian footballer known for her speed, agility, and goal-scoring ability. As captain of the Australian national team and a player for Chelsea in the Women's Super League, Kerr has established herself as a prominent figure in women's football. Off the field, she is known for her advocacy for gender equality and LGBTQ+ rights. Her career includes multiple Golden Boot awards, and she is generally regarded as one of the greatest female footballers of her generation.
",https://www.youtube.com/watch?v=hggfge3ZKi4,https://www.youtube.com/watch?v=ryrJRMfA5_s,https://www.youtube.com/watch?v=_uITYLbto3g,https://docs.google.com/document/d/1_jtiZmapH6nbMkum5B5XsMsyBFSRLuoZ5nUQhKp7lWY/edit?usp=sharing,,sefi,i---,neutral,1,low,low,,female,1990s,australia/new_zeland,other/unknown,,calin_copil | ash_rose | peter_j._foy,2,2,,2,,7,4,4,4,2,4,7,7,7,4,2,2,4,2,,0,2,4,4,2,2,2,,0,2,4,7,7,2,2,2,2,2,,2,,,4,4,,,,,,4,4,4,7,4,4,2,2,0,,0,4,2,2,,2,4,2,2,,2
Barry Keoghan,Calin Copil,"Barry Keoghan is an Irish actor renowned for his distinctive performances in both independent films and blockbuster productions. He rose to prominence with roles in acclaimed films like ""The Killing of a Sacred Deer"" and ""Dunkirk"". He has received various accolades, including a British Academy Film Award, and was nominated for an Academy Award and two Golden Globe Awards. His unique acting style and ability to portray complex characters have garnered critical acclaim, establishing him as one of the most promising talents in contemporary cinema.",https://www.youtube.com/watch?v=JZ-n8lN4Zo4,https://www.youtube.com/watch?v=Gh3pwgHA9b8,https://www.youtube.com/watch?v=s85MAFHgyFE,https://docs.google.com/document/d/1hOOUDfShN-lYT3exBO_Jt7YSLMsQajg-DqAMhWOQ3rM/edit,,seti,i---,adaptive,0,medium,low,,male,1990s,western_europe,-1,,juan_e._sandoval | calin_copil | ash_rose | peter_j._foy,,,2,2,,7,7,4,7,2,4,4,7,7,2,2,2,7,2,,2,,,4,4,2,2,,2,2,4,2,2,2,2,2,2,,,0,4,4,4,4,2,4,2,2,2,2,2,2,4,7,4,4,,,,,,,2,,4,4,2,2,,2
Ashley Graham,Calin Copil,Ashley Graham is an American model and television presenter widely recognized for her influence on the body positivity and inclusivity movements in fashion. She has broken conventional beauty standards by being one of the first plus-size models to appear on the cover of major fashion magazines. Graham's advocacy for diversity and self-acceptance in the industry has made her an inspirational figure to many.,https://www.youtube.com/watch?v=QEGJl5zi-YY,https://www.youtube.com/watch?v=FhFrTkzm9QY,https://www.youtube.com/watch?v=glX1r7RwzpA,https://docs.google.com/document/d/1orzUT2bPGyUoZ8V3SmD5qNMeqdCTBaTYozXV6qefRd4/edit,,feni,i-i-,neutral,0,low,low,I---,female,1980s,north_america,white/european,,calin_copil | ash_rose | luke_connolly,7,7,7,4,4,2,2,2,4,,2,2,4,2,7,,,,,,7,2,2,7,7,4,,,,4,2,4,4,2,,2,,,2,,7,7,4,2,7,7,4,2,4,2,4,,4,4,4,,,4,,,,,2,4,4,4,4,,2,4
Russell Brand,Sierra Schwartz,"Russell Brand, born on June 4, 1975, is a multifaceted English comedian, actor, author, and activist. Rising to fame with his unique comedic style, Brand has starred in films like ""Forgetting Sarah Marshall"" and ""Get Him to The Greek."" Beyond entertainment, he is known for his outspoken views on politics, spirituality, and social issues. Brand's books, including ""My Booky Wook"" and ""Revolution,"" reflect his deep thoughts on personal and societal transformation. With a charismatic stage presence, Russell Brand continues to captivate audiences with his wit and thought-provoking perspectives.",https://www.youtube.com/watch?v=EXUpMMde51E,https://www.youtube.com/watch?v=rY5jCvRHEFk&t=12s,https://www.youtube.com/watch?v=4W-pZrhu798,https://docs.google.com/document/d/1aQ6BLp65uFpLOfV3gA-_k9kMR2AongLlBjRljMwUAvQ/edit,,feni,i-i-,directive,0,low,low,,male,1970s,western_europe,white/european,,ash_rose,4,4,7,4,4,4,2,2,4,,4,4,4,4,4,,2,2,2,,4,4,4,7,7,2,2,,,2,,4,2,,2,2,2,,,4,4,4,4,2,7,7,4,2,2,2,4,2,4,4,4,2,4,2,2,,,,,2,2,2,2,4,7,4
Nick Vujicic,Sierra Schwartz,"Nick Vujicic, born on December 4, 1982, is an Australian motivational speaker, author, and evangelist. Born with tetra-amelia syndrome, a rare disorder characterized by the absence of all four limbs, Vujicic has overcome extraordinary challenges to inspire millions globally. Founder of the nonprofit organization Life Without Limbs, he travels the world sharing his powerful message of hope, faith, and resilience. Through his bestselling books and compelling talks, Vujicic encourages individuals to embrace their uniqueness and find purpose despite life's adversities.",https://www.youtube.com/watch?v=mco3QSr4YEo,https://www.youtube.com/watch?v=9CR3yIDCh9M,https://www.youtube.com/watch?v=mDeYXSysYnc,https://docs.google.com/document/d/1cGPg0ZR5kIe7id4JT8L_WcX2iv9dlucwaB8z-OegFoc/edit,,fesi,i---,adaptive,0,low,low,,male,1980s,australia/new_zeland,white/european,,juan_e._sandoval | peter_j._foy,2,4,2,,2,2,2,2,,,2,4,2,,4,,4,2,2,2,4,7,4,4,,,2,,,,2,2,,4,,,,,,2,4,4,4,2,4,,4,,,,,,4,2,,,4,7,4,4,2,2,2,4,4,4,,,2,
