,Sample Name,Vultologist,Type,Development,Emotions,Fallen Affect,J Signal Mixing,P Signal Mixing,Sex,Age Range,Geography,Ethnicity,R1 Rigid Posture,R2 Face Centric,R3 Punctuated Motions,R4 Vertical Movements,R5 Subordinate Fluidity,F1 Fluid Posture,F2 Eye Centric,F3 Gliding Motions,F4 Horizontal Movements,F5 Subordinate Rigidity,PF1 Restless Momentum,PF2 Toggling Eyes,PF3 Body Swaying,PF4 Casual Hands,PF5 Alert Perk Ups,RF1 Viscous Inertia,RF2 Fixed Gaze,RF3 Diagonal Eye Drifts,RF4 Searching Scowling,RF5 Narrow Head Zoning,PR1 Head Pushes,PR2 Head Shakes,PR3 Shoulder Shrugs,PR4 Fluent Articulation,PR5 Projecting Hands,RR1 Poised Receding,RR2 Disengaging Eyes,RR3 Exerted Pushes,RR4 Momentum Halting,RR5 Meticulous Hands,CA1 Taut Nasolabial Area,CA2 Vertical Snarling Smiles,CA3 Four Point Pulling,CA4 Wobbling Lips,CA5 Asymmetrical Smirks,CA6 Sassy Movements,CA7 Plateau Velocity,CA8 Nasal Breathy Voice,CA9 Grasping Hands,MS1 Lax Nasolabial Area,MS2 Horizontal Curtain Smiles,MS3 Two Point Pulling,MS4 Symmetrical Lips,MS5 Emotional Neutralization,MS6 Coordinated Movements,MS7 Parabolic Velocity,MS8 Laryngeal Faint Voice,MS9 Puppeteer Hands,GR1 Taut Preseptal Area,GR2 Lax Pretarsal Area,GR3 Taut Outer Edges,GR4 Intense Scowling,GR5 Pointed Eye Toggles,GR6 Eye Head Parallel Motion,GR7 Grounding Effect,GR8 Bodily Awareness,SU1 Lax Preseptal Area,SU2 Taut Pretarsal Area,SU3 Lax Outer Edges,SU4 Concerned Scowling,SU5 Brushstrokes Eye Toggles,SU6 Eye Head Trailing Motions,SU7 Levity Effect,SU8 Quirky Skits,EU1 Responsive Nodding,EU2 Polite Smiling,EU3 Bashful Body Movements,EG1 Upset Mouth Tension,EG2 Assertive Pushing,EG3 Stern Expressions,sum,Lead Energetic,Quadra
11,Tamino,Ahmad Aldroubi,seti,i--i,unguarded,3.0,low,high,male,1990s,western_europe,arabic,2.0,4.0,2.0,2.0,0.0,7.0,7.0,7.0,7.0,2.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,4.0,2.0,4.0,7.0,2.0,4.0,2.0,4.0,4.0,7.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,0.0,4.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,245.0,Pe,Beta
12,Colin Robertson,Peter Foy,sefi,i-ii,guarded,3.0,low,,male,1980s,western_europe,white/european,0.0,2.0,2.0,2.0,0.0,7.0,7.0,7.0,4.0,4.0,7.0,2.0,7.0,4.0,4.0,2.0,2.0,7.0,7.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,0.0,4.0,2.0,4.0,7.0,2.0,2.0,7.0,7.0,4.0,2.0,0.0,2.0,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,4.0,2.0,7.0,7.0,7.0,7.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,4.0,7.0,228.0,Pe,Gamma
13,Ensar Oud,Calin Copil,nife,ii--,neutral,2.0,low,low,male,-1,-1,turkic,4.0,2.0,4.0,2.0,0.0,4.0,2.0,2.0,7.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,7.0,7.0,0.0,4.0,2.0,4.0,0.0,4.0,7.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,7.0,7.0,4.0,7.0,4.0,0.0,7.0,7.0,7.0,0.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,183.0,Pi,Beta
14,Maggie Lindemann,Calin Copil,sefi,ii--,neutral,0.0,low,low,female,1990s,north_america,white/european,4.0,4.0,2.0,2.0,0.0,4.0,2.0,4.0,7.0,4.0,4.0,7.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,7.0,4.0,2.0,2.0,7.0,7.0,7.0,7.0,4.0,2.0,7.0,4.0,7.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,4.0,7.0,0.0,4.0,2.0,4.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,4.0,2.0,2.0,2.0,198.0,Pe,Gamma
15,Klee Irwin,Juan E. Sandoval,feni,i-ii,unguarded,1.0,low,high,male,1960s,north_america,white/european,4.0,4.0,4.0,4.0,4.0,0.0,0.0,2.0,4.0,0.0,2.0,7.0,4.0,2.0,0.0,2.0,0.0,4.0,2.0,2.0,4.0,4.0,0.0,4.0,7.0,2.0,4.0,2.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,7.0,4.0,4.0,2.0,4.0,7.0,7.0,7.0,2.0,4.0,7.0,4.0,4.0,4.0,2.0,0.0,4.0,4.0,0.0,2.0,7.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,2.0,197.0,Je,Beta
16,Mario Sznajder,Calin Copil,sife,ii--,neutral,1.0,low,low,male,1940s,latin_america,jewish,0.0,2.0,2.0,2.0,0.0,4.0,2.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,2.0,2.0,7.0,4.0,2.0,2.0,7.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,7.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,154.0,Pi,Alpha
17,Amalie Bruun,Calin Copil,fine,ii-i,neutral,2.0,high,low,female,1980s,western_europe,white/european,7.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0,4.0,2.0,7.0,0.0,2.0,2.0,4.0,0.0,4.0,2.0,4.0,2.0,4.0,7.0,4.0,4.0,2.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,7.0,0.0,2.0,0.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,7.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,7.0,7.0,2.0,7.0,2.0,2.0,4.0,0.0,2.0,4.0,2.0,2.0,2.0,4.0,216.0,Ji,Delta
18,Sam Kerr,Calin Copil,sefi,i---,neutral,1.0,low,low,female,1990s,australia/new_zeland,other/unknown,2.0,2.0,0.0,2.0,0.0,7.0,4.0,4.0,4.0,2.0,4.0,7.0,7.0,7.0,4.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,2.0,4.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,7.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,2.0,4.0,2.0,2.0,0.0,2.0,174.0,Pe,Gamma
19,Barry Keoghan,Calin Copil,seti,i---,unguarded,0.0,medium,low,male,1990s,western_europe,-1,0.0,0.0,2.0,2.0,0.0,7.0,7.0,4.0,7.0,2.0,4.0,4.0,7.0,7.0,2.0,2.0,2.0,7.0,2.0,0.0,2.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,2.0,2.0,0.0,2.0,171.0,Pe,Beta
20,Ashley Graham,Calin Copil,feni,i-i-,neutral,0.0,low,low,female,1980s,north_america,white/european,7.0,7.0,7.0,4.0,4.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,7.0,7.0,4.0,0.0,0.0,0.0,4.0,2.0,4.0,4.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,7.0,7.0,4.0,2.0,7.0,7.0,4.0,2.0,4.0,2.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0,4.0,0.0,2.0,4.0,195.0,Je,Beta
21,Russell Brand,Sierra Schwartz,feni,i-i-,guarded,0.0,low,low,male,1970s,western_europe,white/european,4.0,4.0,7.0,4.0,4.0,4.0,2.0,2.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,2.0,2.0,2.0,0.0,4.0,4.0,4.0,7.0,7.0,2.0,2.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,7.0,7.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,7.0,4.0,198.0,Je,Beta
22,Nick Vujicic,Sierra Schwartz,fesi,i---,unguarded,0.0,low,low,male,1980s,australia/new_zeland,white/european,2.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,4.0,7.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,7.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,0.0,0.0,2.0,0.0,136.0,Je,Alpha
23,Miwa,Calin Copil,tine,ii--,unguarded,1.0,medium,low,female,1990s,southern_europe,white/european,4.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,7.0,0.0,4.0,4.0,4.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,7.0,7.0,4.0,2.0,7.0,4.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,0.0,2.0,7.0,7.0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,7.0,7.0,7.0,2.0,0.0,2.0,189.0,Ji,Alpha
24,Seeker,Juan E. Sandoval,seti,ii-i,guarded,2.0,low,low,male,1990s,middle_east/north_africa,arabic,0.0,2.0,2.0,0.0,0.0,4.0,2.0,4.0,2.0,2.0,4.0,7.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,2.0,4.0,0.0,4.0,0.0,4.0,7.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,4.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,7.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,182.0,Pe,Beta
25,Emerald Fennell,Calin Copil,tesi,i--i,unguarded,0.0,low,low,female,1980s,western_europe,white/european,7.0,7.0,2.0,4.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,2.0,2.0,4.0,2.0,0.0,2.0,4.0,2.0,7.0,4.0,2.0,7.0,4.0,7.0,4.0,2.0,2.0,7.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,2.0,7.0,2.0,2.0,2.0,0.0,7.0,7.0,2.0,0.0,0.0,2.0,185.0,Je,Delta
26,Apashe,Calin Copil,seti,i---,neutral,0.0,low,low,male,1980s,western_europe,white/european,0.0,2.0,2.0,2.0,0.0,7.0,7.0,7.0,7.0,2.0,4.0,7.0,7.0,7.0,4.0,0.0,0.0,2.0,7.0,0.0,2.0,0.0,2.0,4.0,2.0,0.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,7.0,7.0,7.0,7.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,2.0,191.0,Pe,Beta
27,Sadia Khan,Calin Copil,feni,i-ii,neutral,0.0,medium,low,female,-1,western_europe,-1,7.0,7.0,7.0,7.0,7.0,0.0,2.0,4.0,4.0,0.0,2.0,4.0,2.0,4.0,4.0,0.0,2.0,2.0,2.0,2.0,7.0,4.0,2.0,4.0,7.0,4.0,2.0,2.0,0.0,7.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,4.0,2.0,2.0,7.0,7.0,4.0,2.0,2.0,4.0,4.0,2.0,7.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,2.0,2.0,201.0,Je,Beta
28,Tilda Swinton,Peter Foy,fesi,i--i,guarded,2.0,low,high,female,1960s,western_europe,white/european,7.0,7.0,7.0,7.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,2.0,4.0,0.0,2.0,2.0,2.0,0.0,7.0,7.0,2.0,4.0,7.0,7.0,7.0,4.0,2.0,7.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,4.0,4.0,4.0,4.0,2.0,7.0,4.0,2.0,2.0,4.0,7.0,2.0,4.0,4.0,0.0,0.0,4.0,2.0,2.0,7.0,2.0,2.0,4.0,2.0,2.0,2.0,0.0,2.0,4.0,4.0,221.0,Je,Alpha
29,Jude Law,Calin Copil,teni,i-i-,neutral,0.0,medium,low,male,1960s,western_europe,white/european,4.0,4.0,7.0,7.0,7.0,4.0,4.0,2.0,7.0,0.0,2.0,7.0,4.0,7.0,7.0,0.0,2.0,4.0,2.0,0.0,7.0,4.0,2.0,7.0,7.0,2.0,4.0,0.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,7.0,2.0,2.0,0.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,4.0,7.0,7.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,4.0,2.0,2.0,2.0,226.0,Je,Gamma
30,Greta Gerwig,Calin Copil,fine,ii-i,neutral,0.0,low,low,female,1980s,north_america,white/european,7.0,7.0,4.0,4.0,7.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,2.0,7.0,4.0,0.0,4.0,0.0,4.0,2.0,4.0,4.0,2.0,2.0,7.0,7.0,4.0,7.0,2.0,7.0,4.0,4.0,7.0,4.0,2.0,2.0,7.0,4.0,7.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,4.0,7.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,0.0,2.0,2.0,208.0,Ji,Delta
31,Sufjan Stevens,Peter Foy,neti,ii-i,neutral,3.0,low,medium,male,1970s,north_america,white/european,4.0,4.0,0.0,2.0,0.0,4.0,4.0,7.0,0.0,2.0,4.0,7.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,0.0,4.0,7.0,4.0,2.0,2.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,4.0,4.0,2.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,4.0,178.0,Pe,Alpha
32,Lorraine Warren,Sierra Schwartz,nite,iii-,neutral,0.0,low,low,female,1920s,north_america,white/european,4.0,2.0,2.0,2.0,0.0,2.0,4.0,4.0,4.0,7.0,2.0,2.0,2.0,4.0,2.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,7.0,4.0,7.0,4.0,2.0,2.0,4.0,7.0,2.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,4.0,4.0,4.0,193.0,Pi,Gamma
33,Saoirse Ronan,Calin Copil,tesi,i-ii,neutral,1.0,low,low,female,1990s,western_europe,white/european,7.0,7.0,4.0,4.0,7.0,2.0,2.0,2.0,7.0,0.0,2.0,2.0,4.0,7.0,7.0,0.0,2.0,2.0,4.0,0.0,7.0,7.0,4.0,4.0,7.0,7.0,7.0,4.0,2.0,7.0,4.0,2.0,7.0,4.0,2.0,7.0,7.0,7.0,7.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,2.0,7.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,231.0,Je,Delta
